EU544663.1,Myocastor_coypus
AJ389535.1,Napaeozapus_insignis
MK878964.1,Nelsonia_goldmani
MK878962.1,Nelsonia_neotomodon
AM910618.1,Neofiber_alleni
KJ452863.1,Neotamias_alpinus
AF147630.1,Neotamias_amoenus
AF147634.1,Neotamias_bulleri
AF147635.1,Neotamias_canipes
AF147636.1,Neotamias_cinereicollis
KJ139558.1,Neotamias_dorsalis
AF147642.1,Neotamias_durangae
AF147644.1,Neotamias_merriami
AF147646.1,Neotamias_minimus
AF147652.1,Neotamias_obscurus
AF147654.1,Neotamias_ochrogenys
AF147655.1,Neotamias_palmeri
AF147656.1,Neotamias_panamintinus
AF147657.1,Neotamias_quadrimaculatus
AF147658.1,Neotamias_quadrivittatus
AF147661.1,Neotamias_ruficaudus
AF147662.1,Neotamias_rufus
AF147665.1,Neotamias_senex
AF147668.1,Neotamias_siskiyou
JN042528.1,Neotamias_sonomae
JN042479.1,Neotamias_speciosus
AF147674.1,Neotamias_townsendii
KJ139594.1,Neotamias_umbrinus
JF489128.1,Neotoma_albigula
HM989966.1,Neotoma_angustapalata
AF307832.1,Neotoma_bryanti
DQ179855.1,Neotoma_cinerea
AF307829.1,Neotoma_devia
KF772873.1,Neotoma_ferruginea
AF294333.1,Neotoma_floridana
DQ179822.1,Neotoma_fuscipes
AF186829.1,Neotoma_goldmani
DQ781161.1,Neotoma_insularis
DQ179830.1,Neotoma_lepida
AF186806.1,Neotoma_leucodon
AF307836.1,Neotoma_macrotis
DQ179856.1,Neotoma_magister
KM488351.1,Neotoma_melanura_(N._albigula_subsp.)
AF294345.1,Neotoma_mexicana
DQ179818.1,Neotoma_micropus
KC758854.1,Neotoma_nelsoni
MK202784.1,Neotoma_phenax
DQ179851.1,Neotoma_picta
DQ781305.1,Neotoma_stephensi
AY195796.1,Neotomodon_alstoni
AF157843.1,Notocitellus_adocetus
AF157849.1,Notocitellus_annulatus
AY195801.1,Nyctomys_sumichrasti
KY754075.1,Ochrotomys_nuttalli
DQ227457.1,Oligoryzomys_fulvescens
KC563206.1,Ondatra_zibethicus
AY195793.1,Onychomys_arenicola
AY195794.1,Onychomys_leucogaster
KY754082.1,Onychomys_torridus
KC692845.1,Orthogeomys_grandis
DQ185383.1,Oryzomys_couesi
EU074645.1,Oryzomys_mexicanus
DQ185382.1,Oryzomys_palustris
EU074641.1,Oryzomys_texensis
AF155383.1,Osgoodomys_banderanus
JQ183060.1,Otonyctomys_hatti	
AF157918.1,Otopermophilus_beecheyi	
JF925283.1,Otospermophilus_douglasii_(O._beecheyi_subsp.)	
AF157854.1,Otospermophilus_variegatus	
MF281975.1,Ototylomys_chiapensis	
AY009788.1,Ototylomys_phyllotis	
AF302168.1,Pappogeomys_bulleri	
AY926413.1,Perognathus_alticolus	
U65301.1,Perognathus_amplus	
AY926410.1,Perognathus_fasciatus	
AY926411.1,Perognathus_flavescens	
AY926405.1,Perognathus_flavus	
AY926404.1,Perognathus_inornatus	
U65302.1,Perognathus_longimembris	
AY926409.1,Perognathus_merriami	
AY926406.1,Perognathus_parvus	
OL631905.1,Peromyscus_amplus	
DQ179811.1,Peromyscus_attwateri	
MF589816.1,Peromyscus_avius	
FJ214683.1,Peromyscus_aztecus	
AF131916.1,Peromyscus_beatae	
PP746696.1,Peromyscus_boylii	
FJ716218.1,Peromyscus_californicus	
MF589818.1,Peromyscus_caniceps	
KF201659.1,Peromyscus_carletoni	
MZ510920.1,Peromyscus_carolpattonae	
OL631922.1,Peromyscus_collinus	
AY376413.1,Peromyscus_crinitus	
MF589820.1,Peromyscus_dickeyi	
AF155394.1,Peromyscus_difficilis	
MW684866.1,Peromyscus_ensinki	
AY322503.1,Peromyscus_eremicus	
MF589834.1,Peromyscus_eva	
OL631910.1,Peromyscus_felipensis	
PP818768.1,Peromyscus_fraterculus	
KT965004.1,Peromyscus_furvus	
DQ385710.1,Peromyscus_gambelli_(P._maniculatus_subsp.)	
DQ385624.1,Peromyscus_gossypinus	
AF155395.1,Peromyscus_gratus	
MW684863.1,Peromyscus_greenbaumi	
EF028171.1,Peromyscus_guatemalensis	
EF028169.1,Peromyscus_gymnotis	
DQ973103.1,Peromyscus_hooperi	
DQ000481.1,Peromyscus_hylocetes	
DQ385716.1,Peromyscus_keeni	
KX523179.1,Peromyscus_kilpatricki	
MN124381.1,Peromyscus_labecula	
AF155400.1,Peromyscus_laceianus	
AY263615.1,Peromyscus_leucopus	
AF155396.1,Peromyscus_levipes	
AF155397.1,Peromyscus_madrensis	
JF489123.1,Peromyscus_maniculatus	
DQ000475.1,Peromyscus_megalops	
ON528116.1,Peromyscus_mekisturus	
EF028173.1,Peromyscus_melanocarpus	
DQ973105.1,Peromyscus_melanophrys	
AF155398.1,Peromyscus_melanotis_	
MF589848.1,Peromyscus_merriamii	
AY376425.2,Peromyscus_mexicanus	
AY376426.1,Peromyscus_nasutus	
DQ973106.1,Peromyscus_ochraventer	
AF155401.1,Peromyscus_pectoralis	
DQ000474.1,Peromyscus_perfulvus	
EF423875.1,Peromyscus_polionotus	
AF155403.1,Peromyscus_polius	
MK878988.1,Peromyscus_purepechus	
AY322513.1,Peromyscus_schmidlyi	
MF589856.1,Peromyscus_sejugis	
AF131927.1,Peromyscus_simulus	
MN124385.1,Peromyscus_sonoriensis	
AY322512.1,Peromyscus_spicilegus	
AF155411.1,Peromyscus_stephani	
MZ510924.1,Peromyscus_totontepecus	
FJ800579.1,Peromyscus_truei	
AF131930.1,Peromyscus_winkelmanni	
PQ742163.1,Peromyscus_yucatanicus	
EF028167.1,Peromyscus_zarhynchus	
AF119260.1,Phenacomys_intermedius	
OR350912.1,Phenacomys_ungava	
DQ973110.1,Podomys_floridanus
AF157893.1,Polocitellus_franklinii_(Spermophilus)	
